experiment_id,experiment_name,group,evacuation_rate_mean,evacuation_rate_std,evacuation_time_mean,evacuation_time_std,max_congestion_mean,max_congestion_std,exit_balance_mean,exit_balance_std,cumulative_reward_mean,cumulative_reward_std,final_mean_reward
A1_16D_seed123,Full Observation (16D),A,0.9875,0.0000,600.00,0.00,1.0179,0.3095,9.4248,3.1299,1137.77,53.61,0.00
A1_16D_seed42,Full Observation (16D),A,0.9900,0.0050,516.20,167.60,0.9553,0.1331,10.3621,3.3934,1157.49,134.96,0.00
B1_full_seed123,Full Reward,B,0.9875,0.0000,600.00,0.00,1.0179,0.3095,9.4248,3.1299,1137.77,53.61,0.00
B1_full_seed42,Full Reward,B,0.9900,0.0050,516.20,167.60,0.9553,0.1331,10.3621,3.3934,1157.49,134.96,0.00
B2_no_evac_seed123,No Evacuation Reward,B,0.9900,0.0050,516.80,166.40,1.2183,0.2510,8.2917,1.8630,17.40,93.97,0.00
B2_no_evac_seed42,No Evacuation Reward,B,0.9950,0.0061,360.80,196.81,1.0328,0.2174,8.8032,3.5487,68.87,132.84,0.00
C1_neural_seed123,Neural Network (Social-LSTM),C,0.9875,0.0000,600.00,0.00,1.0179,0.3095,9.4248,3.1299,1137.77,53.61,0.00
C1_neural_seed42,Neural Network (Social-LSTM),C,0.9900,0.0050,516.20,167.60,0.9553,0.1331,10.3621,3.3934,1157.49,134.96,0.00
C2_linear_seed42,Linear Extrapolation,C,0.9950,0.0061,360.80,196.81,1.0328,0.2174,8.8032,3.5487,1262.87,138.78,0.00
D1_full_seed123,Full SFM + Multi-type Pedestrians,D,0.9900,0.0094,435.40,201.62,0.9049,0.2037,9.2804,2.7419,1227.96,153.31,0.00
D1_full_seed42,Full SFM + Multi-type Pedestrians,D,0.9925,0.0061,467.40,162.63,1.0502,0.2021,10.4316,3.1099,1196.59,139.77,0.00
D2_single_type_seed123,Single Type Pedestrians Only,D,0.9850,0.0050,600.00,0.00,0.3944,0.1329,8.6218,3.1793,1269.70,54.38,0.00
D2_single_type_seed42,Single Type Pedestrians Only,D,0.9875,0.0000,600.00,0.00,0.4520,0.0671,9.6441,3.0135,1243.42,56.79,0.00
D3_weak_social_force_seed42,Reduced Social Force (A=1000),D,0.9900,0.0050,515.20,169.60,1.1954,0.2999,9.6312,3.1825,1154.12,156.85,0.00
E1_ppo_guidance_seed123,PPO-based Guidance,E,0.9875,0.0000,600.00,0.00,1.0179,0.3095,9.4248,3.1299,1137.77,53.61,0.00
E1_ppo_guidance_seed42,PPO-based Guidance,E,0.9900,0.0050,516.20,167.60,0.9553,0.1331,10.3621,3.3934,1157.49,134.96,0.00
E2_no_guidance_seed123,No Guidance (Free Choice),E,0.9925,0.0061,463.40,174.33,1.1060,0.1633,11.1906,2.1429,1154.30,149.66,0.00
E2_no_guidance_seed42,No Guidance (Free Choice),E,0.9925,0.0061,428.20,210.58,0.9368,0.1389,10.4392,2.5907,1251.57,126.68,0.00
